sku,warehouse,mape,rmse,mae,bias,forecast_accuracy,n_test_days,model
SKU-1028,WH-007,34.2,84.45,71.77,43.45,0.658,30,exponential_smoothing
SKU-1029,WH-001,37.69,108.74,90.79,-19.68,0.6231,30,exponential_smoothing
SKU-1029,WH-002,33.25,90.26,78.9,1.62,0.6675,30,exponential_smoothing
SKU-1029,WH-003,27.41,102.32,76.58,-19.97,0.7259,30,exponential_smoothing
SKU-1029,WH-004,26.03,100.22,79.03,-33.26,0.7397,30,exponential_smoothing
SKU-1029,WH-005,32.54,102.72,85.42,-0.01,0.6746,30,exponential_smoothing
SKU-1029,WH-006,21.67,71.23,60.91,-28.59,0.7833,30,exponential_smoothing
SKU-1029,WH-007,32.89,96.4,81.34,13.33,0.6711,30,exponential_smoothing
SKU-1000,WH-001,32.53,103.02,88.48,-7.07,0.6747,30,xgboost
SKU-1000,WH-002,31.2,110.52,89.55,15.11,0.688,30,xgboost
SKU-1000,WH-003,34.63,125.85,100.9,-10.56,0.6537,30,xgboost
SKU-1000,WH-004,25.67,90.58,76.64,-13.11,0.7433,30,xgboost
SKU-1000,WH-005,31.58,116.04,93.59,-22.59,0.6842,30,xgboost
SKU-1000,WH-006,22.95,89.41,72.41,-19.12,0.7705,30,xgboost
SKU-1000,WH-007,32.04,100.75,90.38,21.73,0.6796,30,xgboost
SKU-1001,WH-001,26.93,112.04,93.2,5.09,0.7307,30,xgboost
SKU-1001,WH-002,35.18,161.55,133.47,17.51,0.6482,30,xgboost
SKU-1001,WH-003,30.05,166.17,128.53,-38.86,0.6995,30,xgboost
SKU-1001,WH-004,24.43,126.2,106.44,-43.12,0.7557,30,xgboost
SKU-1001,WH-005,29.56,152.01,122.66,-36.41,0.7044,30,xgboost
SKU-1001,WH-006,23.59,124.26,103.25,-43.4,0.7641,30,xgboost
SKU-1001,WH-007,37.47,156.48,135.16,59.43,0.6253,30,xgboost
SKU-1002,WH-001,36.5,144.21,117.29,12.49,0.635,30,xgboost
SKU-1002,WH-002,34.21,171.7,131.11,16.51,0.6579,30,xgboost
SKU-1002,WH-003,36.18,198.46,150.13,-39.46,0.6382,30,xgboost
SKU-1002,WH-004,20.8,153.11,96.96,-54.21,0.792,30,xgboost
SKU-1002,WH-005,28.58,151.73,112.83,-32.49,0.7142,30,xgboost
SKU-1002,WH-006,36.51,161.59,135.22,-5.66,0.6349,30,xgboost
SKU-1002,WH-007,38.24,149.59,119.63,24.49,0.6176,30,xgboost
SKU-1003,WH-001,39.6,152.75,124.81,-27.42,0.604,30,xgboost
SKU-1003,WH-002,40.44,180.68,145.13,-0.55,0.5956,30,xgboost
SKU-1003,WH-003,38.75,196.08,147.59,-10.07,0.6125,30,xgboost
SKU-1003,WH-004,29.29,142.65,114.25,-21.73,0.7071,30,xgboost
SKU-1003,WH-005,31.45,151.89,109.31,-22.43,0.6855,30,xgboost
SKU-1003,WH-006,22.98,115.74,92.06,-32.37,0.7702,30,xgboost
SKU-1003,WH-007,29.2,115.02,93.9,6.07,0.708,30,xgboost
SKU-1005,WH-001,35.37,127.56,101.76,53.84,0.6463,30,xgboost
SKU-1005,WH-002,34.57,150.1,118.71,3.89,0.6543,30,xgboost
SKU-1005,WH-003,27.78,134.92,102.65,-31.4,0.7222,30,xgboost
SKU-1005,WH-004,24.66,117.02,101.65,-45.42,0.7534,30,xgboost
SKU-1005,WH-005,30.99,131.81,109.62,-23.42,0.6901,30,xgboost
SKU-1005,WH-006,19.48,92.68,77.7,-51.22,0.8052,30,xgboost
SKU-1005,WH-007,27.26,115.65,95.42,7.88,0.7274,30,xgboost
SKU-1006,WH-001,48.39,38.71,29.42,20.88,0.5161,30,xgboost
SKU-1006,WH-002,43.02,66.73,52.02,-40.5,0.5698,30,xgboost
SKU-1006,WH-003,102.31,114.22,85.52,78.49,0.0,30,xgboost
SKU-1006,WH-004,50.3,61.27,51.73,-24.53,0.497,30,xgboost
SKU-1006,WH-005,39.8,38.55,32.75,8.35,0.602,30,xgboost
SKU-1006,WH-006,44.81,47.42,40.59,-13.4,0.5519,30,xgboost
SKU-1006,WH-007,85.65,84.25,72.62,56.82,0.1435,30,xgboost
SKU-1007,WH-001,76.23,89.91,76.08,-8.26,0.2377,30,xgboost
SKU-1007,WH-002,139.59,77.33,53.71,12.33,0.0,30,xgboost
SKU-1007,WH-003,51.37,84.63,64.13,-32.03,0.4863,30,xgboost
SKU-1007,WH-004,50.85,100.92,78.63,-40.01,0.4915,30,xgboost
SKU-1007,WH-005,56.78,75.67,64.61,-23.16,0.4322,30,xgboost
SKU-1007,WH-006,55.68,73.36,61.35,-33.11,0.4432,30,xgboost
SKU-1007,WH-007,58.01,62.98,48.46,1.95,0.4199,30,xgboost
SKU-1009,WH-001,27.27,147.38,107.35,37.19,0.7273,30,xgboost
SKU-1009,WH-002,46.06,206.36,175.43,103.77,0.5394,30,xgboost
SKU-1009,WH-003,30.12,176.35,132.97,9.19,0.6988,30,xgboost
SKU-1009,WH-004,30.45,162.85,140.91,17.93,0.6955,30,xgboost
SKU-1009,WH-005,29.65,158.45,128.97,14.63,0.7035,30,xgboost
SKU-1009,WH-006,24.58,158.37,132.0,-97.66,0.7542,30,xgboost
SKU-1009,WH-007,36.54,181.6,147.51,93.52,0.6346,30,xgboost
SKU-1010,WH-001,40.35,139.18,115.26,-4.88,0.5965,30,xgboost
SKU-1010,WH-002,45.73,174.97,143.43,44.43,0.5427,30,xgboost
SKU-1010,WH-003,28.54,120.15,93.11,-12.73,0.7146,30,xgboost
SKU-1010,WH-004,30.41,110.52,92.93,12.06,0.6959,30,xgboost
SKU-1010,WH-005,32.87,124.49,97.67,14.13,0.6713,30,xgboost
SKU-1010,WH-006,21.5,102.27,79.63,-21.12,0.785,30,xgboost
SKU-1010,WH-007,41.09,146.65,123.37,69.25,0.5891,30,xgboost
SKU-1011,WH-001,34.63,150.49,130.17,-14.93,0.6537,30,xgboost
SKU-1011,WH-002,33.38,173.88,139.61,11.69,0.6662,30,xgboost
SKU-1011,WH-003,27.89,167.14,126.37,-43.61,0.7211,30,xgboost
SKU-1011,WH-004,25.86,157.87,125.36,-61.5,0.7414,30,xgboost
SKU-1011,WH-005,31.08,173.07,136.06,-48.2,0.6892,30,xgboost
SKU-1011,WH-006,24.95,143.29,115.04,-57.51,0.7505,30,xgboost
SKU-1011,WH-007,34.69,183.83,149.52,-1.81,0.6531,30,xgboost
SKU-1012,WH-001,31.02,85.9,68.3,22.16,0.6898,30,xgboost
SKU-1012,WH-002,34.4,107.41,87.21,14.53,0.656,30,xgboost
SKU-1012,WH-003,32.22,116.56,87.29,-20.99,0.6778,30,xgboost
SKU-1012,WH-004,30.16,98.27,80.61,-17.68,0.6984,30,xgboost
SKU-1012,WH-005,36.94,119.43,94.36,2.98,0.6306,30,xgboost
SKU-1012,WH-006,31.95,108.34,95.98,-40.91,0.6805,30,xgboost
SKU-1012,WH-007,31.45,87.93,69.34,37.09,0.6855,30,xgboost
SKU-1013,WH-001,29.97,120.72,96.55,7.48,0.7003,30,xgboost
SKU-1013,WH-002,41.63,168.26,140.39,46.1,0.5837,30,xgboost
SKU-1013,WH-003,30.28,152.18,113.43,-13.69,0.6972,30,xgboost
SKU-1013,WH-004,26.83,120.82,102.68,-8.55,0.7317,30,xgboost
SKU-1013,WH-005,28.43,148.04,113.25,-33.41,0.7157,30,xgboost
SKU-1013,WH-006,23.81,120.58,94.88,-33.31,0.7619,30,xgboost
SKU-1013,WH-007,35.13,144.56,118.63,67.95,0.6487,30,xgboost
SKU-1014,WH-001,30.15,139.11,109.53,53.44,0.6985,30,xgboost
SKU-1014,WH-002,42.51,196.78,161.13,72.73,0.5749,30,xgboost
SKU-1014,WH-003,31.44,165.84,130.98,4.41,0.6856,30,xgboost
SKU-1014,WH-004,25.56,134.21,113.37,7.1,0.7444,30,xgboost
SKU-1014,WH-005,29.75,152.62,126.81,0.39,0.7025,30,xgboost
SKU-1014,WH-006,28.87,157.84,137.24,-79.35,0.7113,30,xgboost
SKU-1014,WH-007,38.44,183.74,151.08,95.31,0.6156,30,xgboost
SKU-1016,WH-001,35.33,114.37,94.38,35.09,0.6467,30,xgboost
SKU-1016,WH-002,37.75,131.92,111.89,13.55,0.6225,30,xgboost
SKU-1016,WH-003,25.08,118.64,89.91,-43.87,0.7492,30,xgboost
SKU-1016,WH-004,29.04,115.75,98.55,-35.83,0.7096,30,xgboost
SKU-1016,WH-005,30.08,125.6,93.29,-14.05,0.6992,30,xgboost
SKU-1016,WH-006,25.06,107.45,93.33,-69.11,0.7494,30,xgboost
SKU-1016,WH-007,28.34,114.42,93.06,0.04,0.7166,30,xgboost
SKU-1017,WH-001,30.97,125.24,106.88,23.72,0.6903,30,xgboost
SKU-1017,WH-002,35.25,160.42,134.21,21.09,0.6475,30,xgboost
SKU-1017,WH-003,29.89,165.15,128.98,-38.87,0.7011,30,xgboost
SKU-1017,WH-004,28.87,148.2,127.84,-50.1,0.7113,30,xgboost
SKU-1017,WH-005,32.42,158.92,132.81,-32.95,0.6758,30,xgboost
SKU-1017,WH-006,26.83,150.2,124.45,-57.3,0.7317,30,xgboost
SKU-1017,WH-007,26.94,146.54,109.35,-14.89,0.7306,30,xgboost
SKU-1018,WH-001,88.76,64.62,55.9,36.58,0.1124,30,xgboost
SKU-1018,WH-002,91.92,55.67,46.21,19.14,0.0808,30,xgboost
SKU-1018,WH-003,152.83,65.66,53.56,43.5,0.0,30,xgboost
SKU-1018,WH-004,51.55,59.7,52.66,-12.91,0.4845,30,xgboost
SKU-1018,WH-005,83.17,52.41,40.12,-5.5,0.1683,30,xgboost
SKU-1018,WH-006,86.97,50.84,39.86,12.63,0.1303,30,xgboost
SKU-1018,WH-007,57.11,61.35,48.91,8.56,0.4289,30,xgboost
SKU-1022,WH-001,31.58,99.93,80.34,-9.98,0.6842,30,xgboost
SKU-1022,WH-002,49.97,118.45,104.97,37.4,0.5003,30,xgboost
SKU-1022,WH-003,43.39,118.63,94.83,-6.15,0.5661,30,xgboost
SKU-1022,WH-004,33.59,98.22,85.06,-18.87,0.6641,30,xgboost
SKU-1022,WH-005,37.0,108.36,90.27,-29.66,0.63,30,xgboost
SKU-1022,WH-006,38.45,106.5,89.28,-16.2,0.6155,30,xgboost
SKU-1022,WH-007,41.1,104.8,91.22,12.46,0.589,30,xgboost
SKU-1023,WH-001,31.91,86.97,71.59,-9.24,0.6809,30,xgboost
SKU-1023,WH-002,39.62,108.84,90.07,-0.28,0.6038,30,xgboost
SKU-1023,WH-003,30.91,119.15,83.69,-39.18,0.6909,30,xgboost
SKU-1023,WH-004,25.82,80.38,67.31,-8.44,0.7418,30,xgboost
SKU-1023,WH-005,35.09,103.65,87.38,-33.5,0.6491,30,xgboost
SKU-1023,WH-006,25.75,82.88,65.62,-35.0,0.7425,30,xgboost
SKU-1023,WH-007,26.32,85.27,68.07,-26.53,0.7368,30,xgboost
SKU-1024,WH-001,29.16,91.21,75.56,-46.43,0.7084,30,xgboost
SKU-1024,WH-002,33.59,98.82,76.23,0.7,0.6641,30,xgboost
SKU-1024,WH-003,29.39,105.69,77.07,-43.14,0.7061,30,xgboost
SKU-1024,WH-004,27.61,84.71,71.63,-35.12,0.7239,30,xgboost
SKU-1024,WH-005,33.22,103.5,84.01,-47.18,0.6678,30,xgboost
SKU-1024,WH-006,20.52,68.08,52.36,-24.87,0.7948,30,xgboost
SKU-1024,WH-007,31.29,96.05,75.22,-14.13,0.6871,30,xgboost
SKU-1025,WH-001,32.99,170.97,133.8,42.39,0.6701,30,xgboost
SKU-1025,WH-002,42.62,213.33,178.9,91.78,0.5738,30,xgboost
SKU-1025,WH-003,27.88,172.58,132.28,-12.74,0.7212,30,xgboost
SKU-1025,WH-004,25.11,145.16,121.33,-7.76,0.7489,30,xgboost
SKU-1025,WH-005,27.69,160.66,137.67,-32.07,0.7231,30,xgboost
SKU-1025,WH-006,28.18,167.27,141.02,-44.56,0.7182,30,xgboost
SKU-1025,WH-007,37.91,197.34,163.6,90.99,0.6209,30,xgboost
SKU-1026,WH-001,69.28,44.3,34.14,16.96,0.3072,30,xgboost
SKU-1026,WH-002,67.0,50.65,32.86,-12.14,0.33,30,xgboost
SKU-1026,WH-003,242.82,53.19,43.45,21.98,0.0,30,xgboost
SKU-1026,WH-004,64.2,55.22,36.19,-4.43,0.358,30,xgboost
SKU-1026,WH-005,164.02,48.07,42.93,22.15,0.0,30,xgboost
SKU-1026,WH-006,77.23,41.96,33.73,11.93,0.2277,30,xgboost
SKU-1026,WH-007,111.82,51.11,38.68,1.04,0.0,30,xgboost
SKU-1027,WH-001,41.27,115.05,95.26,-8.91,0.5873,30,xgboost
SKU-1027,WH-002,39.8,125.07,100.34,41.78,0.602,30,xgboost
SKU-1027,WH-003,50.64,171.03,123.47,27.79,0.4936,30,xgboost
SKU-1027,WH-004,36.19,146.29,115.23,-24.27,0.6381,30,xgboost
SKU-1027,WH-005,37.54,106.56,91.48,3.41,0.6246,30,xgboost
SKU-1027,WH-006,25.19,84.91,67.71,3.75,0.7481,30,xgboost
SKU-1027,WH-007,50.41,142.58,113.24,66.2,0.4959,30,xgboost
SKU-1028,WH-001,45.44,103.92,81.81,62.7,0.5456,30,xgboost
SKU-1028,WH-002,68.72,170.28,141.52,102.56,0.3128,30,xgboost
SKU-1028,WH-003,42.21,102.25,85.22,54.78,0.5779,30,xgboost
SKU-1028,WH-004,35.94,94.36,81.09,28.83,0.6406,30,xgboost
SKU-1028,WH-005,38.4,98.8,87.04,-1.34,0.616,30,xgboost
SKU-1028,WH-006,30.63,88.23,69.66,32.9,0.6937,30,xgboost
SKU-1028,WH-007,64.88,148.74,131.46,121.79,0.3512,30,xgboost
SKU-1029,WH-001,37.01,100.59,85.7,-10.26,0.6299,30,xgboost
SKU-1029,WH-002,45.78,116.65,98.16,40.21,0.5422,30,xgboost
SKU-1029,WH-003,29.61,98.26,80.74,0.79,0.7039,30,xgboost
SKU-1029,WH-004,24.82,92.13,72.4,-12.65,0.7518,30,xgboost
SKU-1029,WH-005,29.98,96.42,80.26,8.15,0.7002,30,xgboost
SKU-1029,WH-006,28.13,93.32,75.86,3.43,0.7187,30,xgboost
SKU-1029,WH-007,45.54,127.54,109.44,49.21,0.5446,30,xgboost
